V_PNR,fodested_kode
15b34c1a4c078f93acbe932b50ea66a48570a3489742bfc937f6f7a04560ba77,430
0a9a7663775c661003971276e9d748b14bae58292a24fa492cc58831acf02244,497
0f0740a932d8660173440eccd7075cd3ea48f4ef7539c8779ca40e8ec65182ad,223
7eefd6139e,288
cf993e415e83a109c70686af21d4b4aca1e4262ad24b09990aa7967cbb6c8d83,545
a5b20adcf8f2df552672115e70d7cc8bff5b0297cb9466cbc23809d5d85cea9e,747
83c4bad8cee39d00b23a85568a55073421c7fc6db2ac26146f8c933404e84fe7,362
2605b27dbbbc13b5f31c759ce5a054923fc3bba209dad32248cc518bc190628d,209
3958ec7a2f093c8a298c42d37f377ebf17332a72347f7cb50f30c6da8496e111,266
6b2bd012536f27ccb789273d9c1605b5f4b3d555274b73b7449c7f480ee4ecce,860
8f7a63f11b6b834f41dee298b01d89e4976feaf7dfc5b7718248d698b9d23efc,888
e71b2e62cd60966ee440c5029e79c80f7e020db04bfb06aaf344c5f393644d8d,720
446044ec3a1e6a2c78901aef5b6468f7c0fe386582f153bcf739df5e13d06029,581
14f6b822950291ca0617e3a593c8d4b0a3ecbcbe0d9c9b58e02c82ee7488c3fb,145
42a03c1d2a37dfdcad76cff9a2b4a16a2ef0b0ea7719f008ce48455956d4ef5c,327
107b78f36e1f62f2a046add9e8e6d9ef201b7198d4afe8c5ce4e25dcfbc676db,298
cec02f94435cc85180642fccb43a2e0403bc816ad5a3c8cd7b548306e176e751,834
becf1ee5d84a5262e9c86504c0afa5a5e93a3bdb512f575ffae829de8e841556,817
8cc1eabf70913f4998a2be8eac8c979a4eb1ac90b878bcd33f5632d8a718f0ca,297
c1db874b2fd7f205334a356779aa84a20a6a1488e28ee4f3740cf76e9227da9c,33
a13e36e99e92c91f0a857dfad4c38103248586716da4d219a2bdc13d723aaff1,91
a108f2ab1bff82a9559176dae4035d5729244af09599d57908834710df8348eb,537
121065939b3e1e0497dfa71908e304010c22f4b65921805412c5e2f474cacb3f,695
7af19852df84e33bc6626a3f6f1480870596adf6125bd43da8a260dd8fa08c05,461
c035c8c4d1f1bc27ac2aef039eb6c7825b129b87babe6266348f7b7f70f74be5,118
