CPR_BARN,CPR_MOR
15b34c1a4c078f93acbe932b50ea66a48570a3489742bfc937f6f7a04560ba77,50db9fbfdc20f97e7cff9ff7f6e4e6bc11d9f7f404659f30d4ac09bc2fd09b5b
d3e5ee2f1cbe46af289033a2575e8af1e64d432875ef2ca73a45a2a5573a44bb,0f0740a932d8660173440eccd7075cd3ea48f4ef7539c8779ca40e8ec65182ad
132dc1ab14e7d08883f03fe3a96f30cddff6adeea0189d25f69030f633b73454,fe5ec5c2a5ad75f1c099c56e1b72014987dc11f85e1b003629e78da448590a07
a5b20adcf8f2df552672115e70d7cc8bff5b0297cb9466cbc23809d5d85cea9e,2f83ff2abc4d517b00adaebea6356fada1879ff3bae94aaa363ddd219ded00b6
acad93d43426427b66582df692002178253dcfa3697701f94383b1d7d65e6647,eb3992fa9d2b6081ac7bd803a77e93a4cb40655ede206a04f62656729c661b7e
ac86d0444a581638b605b660e5c0a0ee9147d6908cc31cfe8ab658356187bba3,3958ec7a2f093c8a298c42d37f377ebf17332a72347f7cb50f30c6da8496e111
9e2ed612c3655191f5690c0749fa536a0b9dc95ea328b511166c999c8185e017,a8512277f162357d13b2d3cd62238c4e1f08c4644ca91ef4bec8a0cb4216179c
8f7a63f11b6b834f41dee298b01d89e4976feaf7dfc5b7718248d698b9d23efc,c36946a851689ee97571db0d2b9dafe512fb83ad053ce43e223fa0434e617588
446044ec3a1e6a2c78901aef5b6468f7c0fe386582f153bcf739df5e13d06029,653d31297c848ac857101b352ab32239928205e49e390b3460e7753d0c41b4f7
4aa593fcc7ba34bf60c9f73c4d8f8e6d35ffe3fce075e0f4fe980f3fa3e62c99,42a03c1d2a37dfdcad76cff9a2b4a16a2ef0b0ea7719f008ce48455956d4ef5c
009a432b500fbac7b5bfab91e58e246ea2a879a98cd8f050da58f8f0a090c2fe,e4b52b22afb1b6120695d1c9a7bbd0e0cd21362127dd78c6e8ad2e16b5ea50d1
d6b58556f49d494cad41e5a20701165e06a1601025e79b1812e01901d8ba6fa6,aab6340af61cf84d182d91ce4edd9c2c83231680e49c29fee9bd40736357ae87
0f735c15d46b1f24ae15f44b457bb96b02a28a5b61e5d0174bfdb0b7a527bfe4,8cc1eabf70913f4998a2be8eac8c979a4eb1ac90b878bcd33f5632d8a718f0ca
863e2a41342b39f76c476e3a22398921ba281739bf41e29150e36035a0f4d74f,5b0ac6c59cdbb3533a15c3471867ba88da4660de613929ec2483eccb96e34260
a13e36e99e92c91f0a857dfad4c38103248586716da4d219a2bdc13d723aaff1,dbe66b00d17abbe7bac85ef135f3c98b41ac4ffccf778186b8cbf944b2bcd3e2
3c5494384d71f748f73b7d46c0cf65dca2ea80a23a5f27d93987ad82093807ed,838fefa3610237ae6185c11cf690435653425caed1a96c323fff78ce44c6e638
121065939b3e1e0497dfa71908e304010c22f4b65921805412c5e2f474cacb3f,7af19852df84e33bc6626a3f6f1480870596adf6125bd43da8a260dd8fa08c05
85b75c9141f9d66889b642e09804e80357e694eb0c0768fab0736e3f35fa2f51,e146d551eed3d38c6ee66a5090362159860afaa799a204c5e4335ba1cc22e4ab
af91f3cacff8a1ad9d2ad0befc0d67d026befa132b4003285a862d6cb9e68609,cb63d38cd80b3627bb69dcebc8ad2d74ab1bd22fe2d571f5a53fdfe60781077a
75082c7f4e2e700b21eaa10ef9e17be4eb00809d0800c1a52cb3058c65e66bf2,ae99e341bb68fcd31160dbdc9623351b49440d95c05f4f63a2e9a20cc1a16e11
00ec3281267f775d888f1f28c64c28f7a74ac9d6b46168193525e4f791856b3d,7264508d67
f20f220119,253520d2fcad8691d24cd5a3ea9805b40f85ea1f4bfcdf9ecbb77f150d18371a
1bffd4fd63208d8cea7f9255ae90eb9abd6995e8eb7abc3445974e18148adac9,0e28364c1e
2554abe6f7ebc3b3ffdd9e7916efbe661ed870b409a8a937bf0f338f73651005,e91b830155ac6077924b91b87d126e3621dd2b026b5b301cf6ca90a0f117bc37
968189c4d58177a3599537f9fadbefa6828f7df10041ddc7efafaadaa00131a2,b9bb657c91fda76aa4bb17d4c95d0d10422e4d293d5d7d741f5545e421d9a8b7
a29021c32b59a095d5ec0c3d94e85b5e1895ae47d627b3e3f109ec78d98d8f68,35ac1767b557e067b1a960b6732c778c4309232855046ee9f6600ea74b3ae9a8
da0f7d972f1fda17fb8c27ca0ac36b5fb530e23c1fa0c719446cd45803811c80,b8062495ee11be5a31887d3fb20aa02098ebfb5c7a1d9ca330c349c8d3dc9d4f
d88154d76216dfe509840f4bac6ba1e04ddb87a1e4b5088f13831c5ac05536b5,9196ea1ea81b849032280b6a81debfa0e4466205dd052e2cf0de0c7e6a55f092
2ed14952cbad1be21d728a4fdd10244290780b9f93a3356ab4ff0687080322c7,c2df08ca5999c184984e8a78cf90d13de088937de9d66670a2440ff976eb0102
db6bae7646a1bd43142dac0e7329bcc401574a2661403d749c73f3ba543f7e1b,0df16191901e891d375949e2e261d5b5e7271c10658b7e4acaa0ce688df9769f
ae98d8908bac8522fe601eb73b1d7ee5bdc5839fe72e2862a1e685dad8996a87,3903a298a13562eebdc21fb04c5a44ebfdcd8d0f568ee793acc52555a65549b3
df896125c033d1cea367197448e8cd1c953544364417cd228b85d920977a600c,bf4dc47bbaef42ffc994b73a67aed3ad1a59c4a0254d9ef353e156a826d76a3a
6724b19a56f6b08d6a1ff80b77857fd967c09e6ded4a1e8c02f41ce634b9fa5c,cc34a6133f1700e94aa4855a8e52be9c0b8f81e5fd9be108ca4fa747fe923d06
19a99a0ad4,77dd86cb7872fcc6ca0aa67716ef4ba9d032036fda881f8bd24da70a91997be1
1887d7d003318ed7acd76dd4ea77f1d9c5d41820f2a9db1e6b8bacbaea3eff97,6eb3c6806bfedaf03aafbe6876187db32f7b2b91a21a1ff909f2c47199bfc112
22bac5c3636594eb8774ad985a17b0d5b88ecf567d221c9e882f2fdc05d98e6d,4773358eedf5dcd82c540bd605c66b4e911c4ed908e4ebc3fba268cc06258473
b3d57a2830905c31b90b9925cfed646539298bb9cafdb64946363fccc3b61a46,96772f702221f6a7fa0da682d198b867d02a59d3dae911c69d85c444391d1659
080e3ad9d775a95006b71e80ee7735b7c9a7833639318cb271db91750706b942,dd17b84eaa49eca2398988e55718143db0732839effe4d2327293c01967ee481
20d4098b1adbd9f2ebad119248f97a748eddb1ee888beef5a150106525223913,48aee983ed22b925b6b4b868feeb7b4010c692dee4ec03503562cfc5ff57c4e1
1268c1b05eff0edc0da60134dae2c6fbabb3c9141b5f27857b8e827d548a5e0a,79b50670bfa55c94cbeb060c14a599b41b875a2571c595054f9d64f11bf540a5
ab9380690cd79c5cef7ceee227cd46730cd2c5fd95bb21fdcd6652cbbc7c8fd1,4f0f3758b3ef7d6f22cd3e6d61a458d6998af26ba5f8fd564955763d690f5c72
3671b0014feffe88074f72fd347aa3d42dbc9f4cee1f24a58e3c2375107a4d35,d0c3b315df7750406a34302002b2d1f0731b7eb0e93dac1088a196a1da0f0299
482116db0040c6c3746dcffe4571cc3b7543bd375c8c7ccfced24b5beb55ab88,7852e85691
837942eb6a789ec4b6fede5a34b2577c24d2a59f332a6f3f264773aaa41e029e,95a9532190ba1697acdfff94b15c8509ba5522dd8c376c8cf6536366c856edec
8df577c885f53a22a819036b5e28d31fc12d51cb0536b836de1ea8544023b36b,20b1d2c08a1fd490facbc420e68f28670a6fa213283f9aed0cc53a348db02fab
af297d4f6c2e80e35456d40198f61314fad18a51cbf37b25041418a0549a55cf,b579988f29
8acc1f16f9f1ecf9d4dcd8a5d7f709fbe5c7ce7f4e9d28e8cf9860a2b4bcb665,dae4cf5e7466991a51f05530056b15cd23c06dfa903c49cff65049725fe4900d
d06ca4c876,42cac9042e972b0cfd59d22248fa26b36d76300dccfba1cd5090c6c80a19eac5
2f139e75331c65bf5b89c46d9a5dcf7d2471d4db5e264e1099aaa2456393dc24,bc029de61e31ae1a59d23f42ec316e9abeaaf920fd6c0b1e6adf2bcd79eea186
b84079b41406ebc286d334ea4c5df1eec10895f464fba43677b085af4be5bb14,183eb649367cb4b731e9625cf56ce5dac796604c36f15f725da3ecd1023d2455
1772e25921920bd3532fda350917b25cbd7344b64e50d655dd5f72c3e699b24a,553e53ed5721f6b180d3e001f009ceb218cbf3ed7053b6c4a5245760457c89a9
16c4c6e9d954d2a0f6215a52cf33ef1e86799db2f637ccc4cfbd06394f456892,580c36da25988bfefef3ad094123f3840d011aab38bda0beec8345310333f2c1
1973a04af821310819d57752c9c73a413e74e96967dccf0e755414d01750732c,4a6ca9ba58aaef87a1d07c4d9d277452732b49d8dde66d472af920ba404a8544
3d73740e3e23ce19e0865bbed42c9f3fdfa5e42652a935a944d30c1469bb6fcb,1bb8b358c0b2dba31ba584fa30bff6130f92d8edcc6308aa191f7474e26a421a
